"#","Germplasm","Species","Bloom_Time","Dataset"
"304","FR23T065","Prunus avium","192.19","Sweet_cherry_CRS_phenotyping_2012"
"305","FR23T067","Prunus avium","192.19","Sweet_cherry_CRS_phenotyping_2012"
"306","FR23T068","Prunus avium","192.19","Sweet_cherry_CRS_phenotyping_2012"
"307","FR23T069","Prunus avium","192.19","Sweet_cherry_CRS_phenotyping_2012"
"308","FR23T072","Prunus avium","178.25","Sweet_cherry_CRS_phenotyping_2012"
"309","FR23T089","Prunus avium","181.58","Sweet_cherry_CRS_phenotyping_2012"
"310","FR23T090","Prunus avium","162.86","Sweet_cherry_CRS_phenotyping_2011"
"311","FR23T090","Prunus avium","172.72","Sweet_cherry_CRS_phenotyping_2012"
"312","FR23T091","Prunus avium","172.72","Sweet_cherry_CRS_phenotyping_2012"
"313","FR23T095","Prunus avium","202.94","Sweet_cherry_CRS_phenotyping_2012"
"314","FR23T113","Prunus avium","178.25","Sweet_cherry_CRS_phenotyping_2012"
"315","FR23T116","Prunus avium","165.67","Sweet_cherry_CRS_phenotyping_2012"
"316","FR23T119","Prunus avium","165.36","Sweet_cherry_CRS_phenotyping_2011"
"317","FR23T120","Prunus avium","160.83","Sweet_cherry_CRS_phenotyping_2011"
"318","FR23T120","Prunus avium","192.19","Sweet_cherry_CRS_phenotyping_2012"
"319","FR23T127","Prunus avium","178.25","Sweet_cherry_CRS_phenotyping_2012"
"320","FR23T128","Prunus avium","178.25","Sweet_cherry_CRS_phenotyping_2012"
"321","FR23T129","Prunus avium","160.83","Sweet_cherry_CRS_phenotyping_2011"
"322","FR23T129","Prunus avium","192.19","Sweet_cherry_CRS_phenotyping_2012"
"323","FR23T130","Prunus avium","167.06","Sweet_cherry_CRS_phenotyping_2011"
"324","FR23T130","Prunus avium","202.94","Sweet_cherry_CRS_phenotyping_2012"
"325","FR23T131","Prunus avium","152.33","Sweet_cherry_CRS_phenotyping_2011"
