"#","Germplasm","Species","Pit_Lh","Dataset"
"165","FR11T030","Prunus avium","10.47","Sweet_cherry_CRS_phenotyping_2012"
"166","FR11T031","Prunus avium","10.27","Sweet_cherry_CRS_phenotyping_2010"
"167","FR11T031","Prunus avium","10.31","Sweet_cherry_CRS_phenotyping_2012"
"168","FR11T031","Prunus avium","11.39","Sweet_cherry_CRS_phenotyping_2011"
"169","FR11T032","Prunus avium","10.4","Sweet_cherry_CRS_phenotyping_2010"
"170","FR11T032","Prunus avium","10.97","Sweet_cherry_CRS_phenotyping_2012"
"171","FR11T032","Prunus avium","11.38","Sweet_cherry_CRS_phenotyping_2011"
"172","FR12T001","Prunus avium","10.27","Sweet_cherry_CRS_phenotyping_2011"
"173","FR12T001","Prunus avium","11.01","Sweet_cherry_CRS_phenotyping_2012"
"174","FR12T003","Prunus avium","10.32","Sweet_cherry_CRS_phenotyping_2012"
"175","FR12T004","Prunus avium","11.18","Sweet_cherry_CRS_phenotyping_2012"
"176","FR12T004","Prunus avium","11.51","Sweet_cherry_CRS_phenotyping_2011"
"177","FR12T006","Prunus avium","10.34","Sweet_cherry_CRS_phenotyping_2012"
"178","FR12T006","Prunus avium","11.12","Sweet_cherry_CRS_phenotyping_2011"
"179","FR12T009","Prunus avium","10.4","Sweet_cherry_CRS_phenotyping_2012"
"180","FR12T009","Prunus avium","11.54","Sweet_cherry_CRS_phenotyping_2011"
"181","FR12T011","Prunus avium","10.33","Sweet_cherry_CRS_phenotyping_2010"
"182","FR12T011","Prunus avium","11.19","Sweet_cherry_CRS_phenotyping_2012"
"183","FR12T012","Prunus avium","11.16","Sweet_cherry_CRS_phenotyping_2012"
"184","FR12T012","Prunus avium","12.13","Sweet_cherry_CRS_phenotyping_2011"
"185","FR12T056","Prunus avium","10.81","Sweet_cherry_CRS_phenotyping_2011"
"186","FR12T056","Prunus avium","11.08","Sweet_cherry_CRS_phenotyping_2012"
"187","FR12T057","Prunus avium","12.72","Sweet_cherry_CRS_phenotyping_2012"
"188","FR12T058","Prunus avium","9.86","Sweet_cherry_CRS_phenotyping_2011"
"189","FR12T058","Prunus avium","11.35","Sweet_cherry_CRS_phenotyping_2012"
"190","FR12T063","Prunus avium","10.91","Sweet_cherry_CRS_phenotyping_2012"
"191","FR12T063","Prunus avium","11.34","Sweet_cherry_CRS_phenotyping_2011"
"192","FR12T066","Prunus avium","11.54","Sweet_cherry_CRS_phenotyping_2011"
"193","FR12T066","Prunus avium","11.92","Sweet_cherry_CRS_phenotyping_2012"
"194","FR12T067","Prunus avium","10.45","Sweet_cherry_CRS_phenotyping_2011"
"195","FR12T067","Prunus avium","10.56","Sweet_cherry_CRS_phenotyping_2012"
"196","FR12T068","Prunus avium","11.46","Sweet_cherry_CRS_phenotyping_2011"
"197","FR12T068","Prunus avium","11.61","Sweet_cherry_CRS_phenotyping_2012"
"198","FR12T069","Prunus avium","11.06","Sweet_cherry_CRS_phenotyping_2012"
"199","FR12T071","Prunus avium","10.25","Sweet_cherry_CRS_phenotyping_2012"
"200","FR12T071","Prunus avium","10.68","Sweet_cherry_CRS_phenotyping_2011"
"201","FR12T072","Prunus avium","12.73","Sweet_cherry_CRS_phenotyping_2011"
"202","FR12T072","Prunus avium","12.77","Sweet_cherry_CRS_phenotyping_2012"
"203","FR12T073","Prunus avium","10.11","Sweet_cherry_CRS_phenotyping_2012"
"204","FR12T073","Prunus avium","11.47","Sweet_cherry_CRS_phenotyping_2011"
"205","FR12T074","Prunus avium","11.32","Sweet_cherry_CRS_phenotyping_2012"
"206","FR12T076","Prunus avium","10.79","Sweet_cherry_CRS_phenotyping_2012"
"207","FR12T076","Prunus avium","11.45","Sweet_cherry_CRS_phenotyping_2011"
"208","FR12T077","Prunus avium","10.56","Sweet_cherry_CRS_phenotyping_2011"
"209","FR12T077","Prunus avium","10.57","Sweet_cherry_CRS_phenotyping_2010"
"210","FR12T077","Prunus avium","10.75","Sweet_cherry_CRS_phenotyping_2012"
"211","FR12T080","Prunus avium","11.14","Sweet_cherry_CRS_phenotyping_2012"
"212","FR12T080","Prunus avium","11.35","Sweet_cherry_CRS_phenotyping_2011"
"213","FR12T091","Prunus avium","10.56","Sweet_cherry_CRS_phenotyping_2012"
"214","FR12T091","Prunus avium","11.48","Sweet_cherry_CRS_phenotyping_2011"
"215","FR12T093","Prunus avium","10.25","Sweet_cherry_CRS_phenotyping_2012"
"216","FR12T093","Prunus avium","10.43","Sweet_cherry_CRS_phenotyping_2011"
"217","FR12T094","Prunus avium","10.68","Sweet_cherry_CRS_phenotyping_2012"
"218","FR13T058","Prunus avium","10.31","Sweet_cherry_CRS_phenotyping_2012"
"219","FR13T058","Prunus avium","11.28","Sweet_cherry_CRS_phenotyping_2011"
"220","FR13T061","Prunus avium","11.29","Sweet_cherry_CRS_phenotyping_2012"
"221","FR13T061","Prunus avium","11.32","Sweet_cherry_CRS_phenotyping_2011"
"222","FR14T056","Prunus avium","11.64","Sweet_cherry_CRS_phenotyping_2011"
"223","FR14T056","Prunus avium","12.37","Sweet_cherry_CRS_phenotyping_2012"
"224","FR14T057","Prunus avium","11.94","Sweet_cherry_CRS_phenotyping_2012"
"225","FR14T057","Prunus avium","12.5","Sweet_cherry_CRS_phenotyping_2011"
"226","FR14T060","Prunus avium","12.79","Sweet_cherry_CRS_phenotyping_2012"
"227","FR14T060","Prunus avium","13.08","Sweet_cherry_CRS_phenotyping_2011"
"228","FR14T075","Prunus avium","11.16","Sweet_cherry_CRS_phenotyping_2012"
"229","FR14T075","Prunus avium","12.23","Sweet_cherry_CRS_phenotyping_2011"
"230","FR14T076","Prunus avium","10.5","Sweet_cherry_CRS_phenotyping_2011"
"231","FR14T076","Prunus avium","11.33","Sweet_cherry_CRS_phenotyping_2012"
"232","FR14T078","Prunus avium","10.86","Sweet_cherry_CRS_phenotyping_2011"
"233","FR14T078","Prunus avium","11.37","Sweet_cherry_CRS_phenotyping_2012"
"234","FR14T079","Prunus avium","11.14","Sweet_cherry_CRS_phenotyping_2012"
"235","FR14T079","Prunus avium","11.31","Sweet_cherry_CRS_phenotyping_2011"
"236","FR14T080","Prunus avium","10.87","Sweet_cherry_CRS_phenotyping_2012"
"237","FR14T080","Prunus avium","12.13","Sweet_cherry_CRS_phenotyping_2011"
"238","FR14T081","Prunus avium","10.72","Sweet_cherry_CRS_phenotyping_2011"
"239","FR14T081","Prunus avium","10.74","Sweet_cherry_CRS_phenotyping_2012"
"240","FR14T082","Prunus avium","10.83","Sweet_cherry_CRS_phenotyping_2012"
"241","FR14T082","Prunus avium","11.9","Sweet_cherry_CRS_phenotyping_2011"
"242","FR14T084","Prunus avium","10.82","Sweet_cherry_CRS_phenotyping_2012"
"243","FR14T084","Prunus avium","11.34","Sweet_cherry_CRS_phenotyping_2011"
"244","FR14T086","Prunus avium","11.55","Sweet_cherry_CRS_phenotyping_2012"
"245","FR14T086","Prunus avium","12.49","Sweet_cherry_CRS_phenotyping_2011"
"246","FR16T001","Prunus avium","12.81","Sweet_cherry_CRS_phenotyping_2012"
"247","FR16T024","Prunus avium","10.88","Sweet_cherry_CRS_phenotyping_2012"
"248","FR16T024","Prunus avium","11.63","Sweet_cherry_CRS_phenotyping_2011"
"249","FR16T040","Prunus avium","10.97","Sweet_cherry_CRS_phenotyping_2012"
"250","FR16T041","Prunus avium","11.74","Sweet_cherry_CRS_phenotyping_2012"
"251","FR17T006","Prunus avium","10.62","Sweet_cherry_CRS_phenotyping_2011"
"252","FR17T006","Prunus avium","10.96","Sweet_cherry_CRS_phenotyping_2012"
"253","FR17T051","Prunus avium","9.58","Sweet_cherry_CRS_phenotyping_2011"
"254","FR17T062","Prunus avium","11.75","Sweet_cherry_CRS_phenotyping_2012"
"255","FR18T017","Prunus avium","11.12","Sweet_cherry_CRS_phenotyping_2012"
"256","FR18T017","Prunus avium","11.36","Sweet_cherry_CRS_phenotyping_2011"
