"Country","Institute","Site","Latitude","Longitude","Altitude","Plantation","Year","Cultivar","  Clone  ","Rootstock","Beginning of flowering (date)","Full Flowering (date)","End of flowering (date)","Beginning of Maturity (date)","Beginning of flowering","Full Flowering","End of flowering","Beginning of Maturity","Flowering duration"
"France","Ctifl","Balandran","43.76","4.46",52,1984,1987,"Van","V1903",,,13/4,17/4,24/6,,102,106,174,
"France","Ctifl","Balandran","43.76","4.46",52,1985,1989,"Hedelfingen","V1877",,,5/4,6/4,19/6,,94,95,169,
"France","Ctifl","Balandran","43.76","4.46",52,1985,1987,"Lodi Large Red","V2485",,,,,22/6,,,,172,
"France","Ctifl","Balandran","43.76","4.46",52,1985,1994,"Lodi Large Red","V2485",,,22/3,,30/5,,80,,149,
"France","Ctifl","Balandran","43.76","4.46",52,1985,1988,"Sweetheart Sumtare","V2465",,,,,29/6,,,,179,
"France","Ctifl","Balandran","43.76","4.46",52,1985,1987,"Van","V1903",,,,,26/6,,,,176,
"France","Ctifl","Balandran","43.76","4.46",52,1986,1988,"Celeste Sumpaca","V2466",,,,,2/6,,,,152,
"France","Ctifl","Balandran","43.76","4.46",52,1986,1994,"Celeste Sumpaca","V2466",,,19/3,23/3,20/5,,77,81,139,
"France","Ctifl","Balandran","43.76","4.46",52,1986,1988,"Giorgia","V2548",,,,,2/6,,,,152,
"France","Ctifl","Balandran","43.76","4.46",52,1986,1994,"Giorgia","V2548",,,21/3,25/3,24/5,,79,83,143,
"France","Ctifl","Balandran","43.76","4.46",52,1986,1988,"Lapins","V2180",,,,,22/6,,,,172,
"France","Ctifl","Balandran","43.76","4.46",52,1986,1988,"Stark Hardy Giant","V1927",,,,,7/6,,,,157,
"France","Ctifl","Balandran","43.76","4.46",52,1986,1989,"Sylvia","V2588",,,8/4,14/4,19/6,,97,103,169,
"France","Ctifl","Balandran","43.76","4.46",52,1986,1988,"Van","V1903",,,,,20/6,,,,170,
"France","Ctifl","Balandran","43.76","4.46",52,1986,1988,"Viscount","V2546",,,,,17/6,,,,167,
"France","Ctifl","Balandran","43.76","4.46",52,1987,1994,"Delice de malicorne Agoudel","V2455",,,18/3,23/3,24/5,,76,81,143,
"France","Ctifl","Balandran","43.76","4.46",52,1987,1995,"Marvin Niram","V2668",,,2/4,7/4,17/5,,91,96,136,
"France","Ctifl","Balandran","43.76","4.46",52,1988,1994,"Gege","V1901",,,,,8/6,,,,158,
"France","Ctifl","Balandran","43.76","4.46",52,1989,1991,"Durona di Cesena","V2011",,,,,17/6,,,,167,
"France","Ctifl","Balandran","43.76","4.46",52,1990,1994,"Fougerouse","V2842",,,23/3,28/3,,,81,86,,
"France","Ctifl","Balandran","43.76","4.46",52,1990,1994,"Graffioni","V2031",,,,,7/6,,,,157,
"France","Ctifl","Balandran","43.76","4.46",52,1991,1994,"Celeste Sumpaca","V3027",,,21/3,28/3,24/5,,79,86,143,
"France","Ctifl","Balandran","43.76","4.46",52,1991,1994,"Cristalina Sumnue","V2948",,,27/3,2/4,3/6,,85,91,153,
"France","Ctifl","Balandran","43.76","4.46",52,1991,1995,"Glacier","V2917",,,28/3,3/4,,,86,92,,
"France","Ctifl","Balandran","43.76","4.46",52,1991,1994,"Napoleon Compact","V2850",,,,,6/6,,,,156,
"France","Ctifl","Balandran","43.76","4.46",52,1991,1993,"Poisdel","V2890",,,5/4,,9/6,,94,,159,
"France","Ctifl","Balandran","43.76","4.46",52,1991,1993,"Sandra Rose","V2943",,,,,7/6,,,,157,
"France","Ctifl","Balandran","43.76","4.46",52,1991,1994,"Skeena","V2941",,,24/3,2/4,10/6,,82,91,160,
"France","Ctifl","Balandran","43.76","4.46",52,1992,1995,"Botond","V3142",,,,,16/6,,,,166,
"France","Ctifl","Balandran","43.76","4.46",52,1992,1994,"Canada Giant Sumgita","V2188",,,26/3,,30/5,,84,,149,
"France","Ctifl","Balandran","43.76","4.46",52,1992,1994,"Garnet","V2155",,,18/3,25/3,,,76,83,,
"France","Ctifl","Balandran","43.76","4.46",52,1992,1994,"Linda","V2979",,,26/3,2/4,6/6,,84,91,156,
"France","Ctifl","Balandran","43.76","4.46",52,1992,1994,"Margit","V2977",,,24/3,2/4,,,82,91,,
"France","Ctifl","Balandran","43.76","4.46",52,1992,1994,"New Star","V2181",,,,27/3,27/5,,,85,146,
"France","Ctifl","Balandran","43.76","4.46",52,1992,1994,"Noire de Meched","V2678",,,26/3,2/4,3/6,,84,91,153,
"France","Ctifl","Balandran","43.76","4.46",52,1992,1994,"Ruby Maru","V2156",,,,27/3,16/5,,,85,135,
"France","Ctifl","Balandran","43.76","4.46",52,1992,1994,"Sandra Rose","V2943",,,24/3,30/3,,,82,88,,
"France","Ctifl","Balandran","43.76","4.46",52,1992,1994,"Summit","V2017",,,24/3,2/4,,,82,91,,
"France","Ctifl","Balandran","43.76","4.46",52,1992,1996,"TechloVan","V3009",,,,,7/6,,,,157,
"France","Ctifl","Balandran","43.76","4.46",52,1992,1994,"Vicentina","V2192",,,,,24/6,,,,174,
"France","Ctifl","Balandran","43.76","4.46",52,1994,2003,"Burlat","V370",,,6/4,,19/5,,95,,138,
"France","Ctifl","Balandran","43.76","4.46",52,1994,1996,"Primulat Ferprime","V3094",,,,,20/5,,,,139,
"France","Ctifl","Balandran","43.76","4.46",52,1994,1997,"Primulat Ferprime","V3094",,,,,2/5,,,,121,
"France","Ctifl","Balandran","43.76","4.46",52,1994,1998,"Primulat Ferprime","V3094",,,,,19/5,,,,138,
"France","Ctifl","Balandran","43.76","4.46",52,1994,1999,"Primulat Ferprime","V3094",,,,,12/5,,,,131,
"France","Ctifl","Balandran","43.76","4.46",52,1995,2004,"Burlat","V370",,,11/4,,24/5,,100,,143,
"France","Ctifl","Balandran","43.76","4.46",52,1997,1999,"Duroni 3","V2472",,,8/4,,,,97,,,
"France","Ctifl","Balandran","43.76","4.46",52,1997,2001,"Duroni 3","V2472",,,9/4,,,,98,,,
"France","Ctifl","Balandran","43.76","4.46",52,1997,2003,"Duroni 3","V2472",,,15/4,,11/6,,104,,161,
"France","Ctifl","Balandran","43.76","4.46",52,1997,2004,"Duroni 3","V2472",,,14/4,,11/6,,103,,161,
"France","Ctifl","Balandran","43.76","4.46",52,1997,2002,"Duroni 3","V2472",,,4/4,,2/6,,93,,152,
"France","Ctifl","Balandran","43.76","4.46",52,1997,2000,"Duroni 3","V2472",,,5/4,,31/5,,94,,150,
"France","Ctifl","Balandran","43.76","4.46",52,1997,2004,"Fernier","V2315",,,7/4,,5/6,,96,,155,
"France","Ctifl","Balandran","43.76","4.46",52,1997,1999,"Fernier","V2315",,,5/4,,4/6,,94,,154,
"France","Ctifl","Balandran","43.76","4.46",52,1997,2003,"Fernier","V2315",,,11/4,,1/6,,100,,151,
"France","Ctifl","Balandran","43.76","4.46",52,1997,2001,"Fernier","V2315",,,5/4,,31/5,,94,,150,
"France","Ctifl","Balandran","43.76","4.46",52,1997,2000,"Fernier","V2315",,,28/3,,27/5,,86,,146,
"France","Ctifl","Balandran","43.76","4.46",52,1997,2002,"Fernier","V2315",,,27/3,,26/5,,85,,145,
"France","Ctifl","Balandran","43.76","4.46",52,1997,2004,"New Moon Sumini","V3028",,,3/4,,,,92,,,
"France","Ctifl","Balandran","43.76","4.46",52,1997,1999,"New Moon Sumini","V3028",,,27/3,,3/6,,85,,153,
"France","Ctifl","Balandran","43.76","4.46",52,1997,2003,"New Moon Sumini","V3028",,,2/4,,30/5,,91,,149,
"France","Ctifl","Balandran","43.76","4.46",52,1997,2002,"New Moon Sumini","V3028",,,23/3,,27/5,,81,,146,
"France","Ctifl","Balandran","43.76","4.46",52,1997,2000,"New Moon Sumini","V3028",,,22/3,,24/5,,80,,143,
"France","Ctifl","Balandran","43.76","4.46",52,1997,2001,"New Moon Sumini","V3028",,,27/3,,23/5,,85,,142,
"France","Ctifl","Balandran","43.76","4.46",52,1997,2004,"Samba Sumste","V2945",,,3/4,,5/6,,92,,155,
"France","Ctifl","Balandran","43.76","4.46",52,1997,1999,"Samba Sumste","V2945",,,25/3,,1/6,,83,,151,
"France","Ctifl","Balandran","43.76","4.46",52,1997,2001,"Samba Sumste","V2945",,,25/3,,27/5,,83,,146,
"France","Ctifl","Balandran","43.76","4.46",52,1997,2000,"Samba Sumste","V2945",,,22/3,,26/5,,80,,145,
"France","Ctifl","Balandran","43.76","4.46",52,1997,2003,"Samba Sumste","V2945",,,1/4,,25/5,,90,,144,
"France","Ctifl","Balandran","43.76","4.46",52,1997,2002,"Samba Sumste","V2945",,,22/3,,24/5,,80,,143,
"France","Ctifl","Balandran","43.76","4.46",52,1997,1999,"Satin Sumele","V2836",,,26/3,,,,84,,,
"France","Ctifl","Balandran","43.76","4.46",52,1997,2004,"Satin Sumele","V2836",,,6/4,,2/6,,95,,152,
"France","Ctifl","Balandran","43.76","4.46",52,1997,2003,"Satin Sumele","V2836",,,4/4,,1/6,,93,,151,
"France","Ctifl","Balandran","43.76","4.46",52,1997,2001,"Satin Sumele","V2836",,,31/3,,24/5,,89,,143,
"France","Ctifl","Balandran","43.76","4.46",52,1997,2002,"Satin Sumele","V2836",,,25/3,,24/5,,83,,143,
"France","Ctifl","Balandran","43.76","4.46",52,1997,2000,"Satin Sumele","V2836",,,27/3,,22/5,,85,,141,
"France","Ctifl","Balandran","43.76","4.46",52,1997,1999,"Sonata Sumleta","V2940",,,1/4,,,,90,,,
"France","Ctifl","Balandran","43.76","4.46",52,1997,2004,"Sonata Sumleta","V2940",,,3/4,,12/6,,92,,162,
"France","Ctifl","Balandran","43.76","4.46",52,1997,2003,"Sonata Sumleta","V2940",,,4/4,,6/6,,93,,156,
"France","Ctifl","Balandran","43.76","4.46",52,1997,2002,"Sonata Sumleta","V2940",,,24/3,,30/5,,82,,149,
"France","Ctifl","Balandran","43.76","4.46",52,1997,2000,"Sonata Sumleta","V2940",,,24/3,,29/5,,82,,148,
"France","Ctifl","Balandran","43.76","4.46",52,1997,2001,"Sonata Sumleta","V2940",,,31/3,,28/5,,89,,147,
