"#","Germplasm","Species","Pull_Force","Dataset"
"200","FR12T073","Prunus avium","971.8","Sweet_cherry_CRS_phenotyping_2011"
"201","FR12T074","Prunus avium","533.3","Sweet_cherry_CRS_phenotyping_2012"
"202","FR12T076","Prunus avium","479.3","Sweet_cherry_CRS_phenotyping_2011"
"203","FR12T076","Prunus avium","660.8","Sweet_cherry_CRS_phenotyping_2012"
"204","FR12T077","Prunus avium","624.1","Sweet_cherry_CRS_phenotyping_2012"
"205","FR12T077","Prunus avium","772.9","Sweet_cherry_CRS_phenotyping_2010"
"206","FR12T077","Prunus avium","1117.6","Sweet_cherry_CRS_phenotyping_2011"
"207","FR12T080","Prunus avium","424.2","Sweet_cherry_CRS_phenotyping_2011"
"208","FR12T080","Prunus avium","507.8","Sweet_cherry_CRS_phenotyping_2012"
"209","FR12T091","Prunus avium","660.8","Sweet_cherry_CRS_phenotyping_2012"
"210","FR12T091","Prunus avium","783.1","Sweet_cherry_CRS_phenotyping_2011"
"211","FR12T093","Prunus avium","556.8","Sweet_cherry_CRS_phenotyping_2011"
"212","FR12T093","Prunus avium","715.8","Sweet_cherry_CRS_phenotyping_2012"
"213","FR12T094","Prunus avium","537.4","Sweet_cherry_CRS_phenotyping_2012"
"214","FR13T058","Prunus avium","559.8","Sweet_cherry_CRS_phenotyping_2012"
"215","FR13T058","Prunus avium","716.9","Sweet_cherry_CRS_phenotyping_2011"
"216","FR13T061","Prunus avium","654.7","Sweet_cherry_CRS_phenotyping_2011"
"217","FR13T061","Prunus avium","809.7","Sweet_cherry_CRS_phenotyping_2012"
"218","FR14T056","Prunus avium","918.8","Sweet_cherry_CRS_phenotyping_2012"
"219","FR14T056","Prunus avium","1399.1","Sweet_cherry_CRS_phenotyping_2011"
"220","FR14T057","Prunus avium","994.2","Sweet_cherry_CRS_phenotyping_2011"
"221","FR14T057","Prunus avium","1113.5","Sweet_cherry_CRS_phenotyping_2012"
"222","FR14T060","Prunus avium","813.7","Sweet_cherry_CRS_phenotyping_2012"
"223","FR14T060","Prunus avium","905.5","Sweet_cherry_CRS_phenotyping_2011"
"224","FR14T075","Prunus avium","1035","Sweet_cherry_CRS_phenotyping_2011"
"225","FR14T075","Prunus avium","1356.2","Sweet_cherry_CRS_phenotyping_2012"
"226","FR14T076","Prunus avium","1137","Sweet_cherry_CRS_phenotyping_2011"
"227","FR14T076","Prunus avium","1395","Sweet_cherry_CRS_phenotyping_2012"
"228","FR14T078","Prunus avium","888.2","Sweet_cherry_CRS_phenotyping_2012"
"229","FR14T078","Prunus avium","1376.6","Sweet_cherry_CRS_phenotyping_2011"
"230","FR14T079","Prunus avium","910.6","Sweet_cherry_CRS_phenotyping_2011"
"231","FR14T079","Prunus avium","1011.6","Sweet_cherry_CRS_phenotyping_2012"
"232","FR14T080","Prunus avium","906.5","Sweet_cherry_CRS_phenotyping_2012"
"233","FR14T080","Prunus avium","1752.9","Sweet_cherry_CRS_phenotyping_2011"
"234","FR14T081","Prunus avium","1144.1","Sweet_cherry_CRS_phenotyping_2011"
"235","FR14T081","Prunus avium","1197.1","Sweet_cherry_CRS_phenotyping_2012"
"236","FR14T082","Prunus avium","1169.6","Sweet_cherry_CRS_phenotyping_2011"
"237","FR14T084","Prunus avium","977.9","Sweet_cherry_CRS_phenotyping_2012"
"238","FR14T084","Prunus avium","1164.5","Sweet_cherry_CRS_phenotyping_2011"
"239","FR14T086","Prunus avium","1173.7","Sweet_cherry_CRS_phenotyping_2012"
"240","FR14T086","Prunus avium","1719.2","Sweet_cherry_CRS_phenotyping_2011"
"241","FR16T001","Prunus avium","710.7","Sweet_cherry_CRS_phenotyping_2012"
"242","FR16T024","Prunus avium","755.6","Sweet_cherry_CRS_phenotyping_2012"
"243","FR16T024","Prunus avium","1261.4","Sweet_cherry_CRS_phenotyping_2011"
"244","FR16T040","Prunus avium","742.4","Sweet_cherry_CRS_phenotyping_2012"
"245","FR16T041","Prunus avium","689.3","Sweet_cherry_CRS_phenotyping_2012"
"246","FR17T006","Prunus avium","576.1","Sweet_cherry_CRS_phenotyping_2012"
"247","FR17T006","Prunus avium","628.1","Sweet_cherry_CRS_phenotyping_2011"
"248","FR17T051","Prunus avium","906.5","Sweet_cherry_CRS_phenotyping_2011"
"249","FR17T062","Prunus avium","672","Sweet_cherry_CRS_phenotyping_2012"
"250","FR18T017","Prunus avium","708.7","Sweet_cherry_CRS_phenotyping_2012"
"251","FR18T017","Prunus avium","740.3","Sweet_cherry_CRS_phenotyping_2011"
"252","FR18T018","Prunus avium","482.3","Sweet_cherry_CRS_phenotyping_2011"
"253","FR18T018","Prunus avium","672","Sweet_cherry_CRS_phenotyping_2012"
"254","FR18T019","Prunus avium","547.6","Sweet_cherry_CRS_phenotyping_2011"
"255","FR18T019","Prunus avium","856.6","Sweet_cherry_CRS_phenotyping_2012"
"256","FR18T020","Prunus avium","831.1","Sweet_cherry_CRS_phenotyping_2012"
"257","FR18T041","Prunus avium","488.4","Sweet_cherry_CRS_phenotyping_2011"
"258","FR18T042","Prunus avium","643.4","Sweet_cherry_CRS_phenotyping_2012"
"259","FR18T043","Prunus avium","626.1","Sweet_cherry_CRS_phenotyping_2012"
