"#","Germplasm","Species","Stem_length","Dataset"
"199","FR27T054","Prunus avium","33.69","Sweet_cherry_CRS_phenotyping_2011"
"200","FR27T094","Prunus avium","39.78","Sweet_cherry_CRS_phenotyping_2011"
"201","FR27T096","Prunus avium","39.86","Sweet_cherry_CRS_phenotyping_2011"
"202","FR27T097","Prunus avium","32.7","Sweet_cherry_CRS_phenotyping_2011"
"203","FR27T099","Prunus avium","31.65","Sweet_cherry_CRS_phenotyping_2011"
"204","FR29T073","Prunus avium","31.43","Sweet_cherry_CRS_phenotyping_2011"
"205","FR29T120","Prunus avium","46.66","Sweet_cherry_CRS_phenotyping_2011"
"206","FR29T122","Prunus avium","41.94","Sweet_cherry_CRS_phenotyping_2011"
"207","FR29T124","Prunus avium","45.52","Sweet_cherry_CRS_phenotyping_2011"
"208","FR2T035","Prunus avium","41.39","Sweet_cherry_CRS_phenotyping_2010"
"209","FR2T035","Prunus avium","45.45","Sweet_cherry_CRS_phenotyping_2011"
"210","FR2T037","Prunus avium","51.17","Sweet_cherry_CRS_phenotyping_2010"
"211","FR2T037","Prunus avium","52.85","Sweet_cherry_CRS_phenotyping_2011"
"212","FR2T038","Prunus avium","38.54","Sweet_cherry_CRS_phenotyping_2010"
"213","FR2T038","Prunus avium","44.56","Sweet_cherry_CRS_phenotyping_2011"
"214","FR2T040","Prunus avium","40.34","Sweet_cherry_CRS_phenotyping_2010"
"215","FR2T040","Prunus avium","43.23","Sweet_cherry_CRS_phenotyping_2011"
"216","FR2T045","Prunus avium","41.2","Sweet_cherry_CRS_phenotyping_2010"
"217","FR2T045","Prunus avium","48.28","Sweet_cherry_CRS_phenotyping_2011"
"218","FR2T046","Prunus avium","47.96","Sweet_cherry_CRS_phenotyping_2010"
"219","FR2T046","Prunus avium","52.71","Sweet_cherry_CRS_phenotyping_2011"
"220","FR2T048","Prunus avium","38.16","Sweet_cherry_CRS_phenotyping_2011"
"221","FR2T049","Prunus avium","40.96","Sweet_cherry_CRS_phenotyping_2011"
"222","FR2T049","Prunus avium","42.04","Sweet_cherry_CRS_phenotyping_2010"
"223","FR2T050","Prunus avium","35.19","Sweet_cherry_CRS_phenotyping_2010"
"224","FR2T050","Prunus avium","44.37","Sweet_cherry_CRS_phenotyping_2011"
"225","FR2T054","Prunus avium","41.59","Sweet_cherry_CRS_phenotyping_2011"
"226","FR2T054","Prunus avium","48.5","Sweet_cherry_CRS_phenotyping_2010"
"227","FR2T057","Prunus avium","47.18","Sweet_cherry_CRS_phenotyping_2010"
"228","FR2T057","Prunus avium","51.49","Sweet_cherry_CRS_phenotyping_2011"
"229","FR2T079","Prunus avium","38.19","Sweet_cherry_CRS_phenotyping_2011"
"230","FR2T079","Prunus avium","39.11","Sweet_cherry_CRS_phenotyping_2010"
"231","FR2T080","Prunus avium","38.27","Sweet_cherry_CRS_phenotyping_2011"
"232","FR2T080","Prunus avium","43.03","Sweet_cherry_CRS_phenotyping_2010"
"233","FR30T099","Prunus avium","30.43","Sweet_cherry_CRS_phenotyping_2011"
"234","FR30T102","Prunus avium","42.19","Sweet_cherry_CRS_phenotyping_2011"
"235","FR30T106","Prunus avium","35.74","Sweet_cherry_CRS_phenotyping_2011"
"236","FR30T108","Prunus avium","39.84","Sweet_cherry_CRS_phenotyping_2011"
"237","FR30T109","Prunus avium","42.3","Sweet_cherry_CRS_phenotyping_2011"
"238","FR31T007","Prunus avium","33.06","Sweet_cherry_CRS_phenotyping_2011"
"239","FR31T010","Prunus avium","35.44","Sweet_cherry_CRS_phenotyping_2011"
"240","FR33T004","Prunus avium","34.69","Sweet_cherry_CRS_phenotyping_2011"
"241","FR33T005","Prunus avium","33.87","Sweet_cherry_CRS_phenotyping_2011"
"242","FR33T006","Prunus avium","29.86","Sweet_cherry_CRS_phenotyping_2011"
"243","FR33T008","Prunus avium","44.68","Sweet_cherry_CRS_phenotyping_2011"
"244","FR35T101","Prunus avium","25.58","Sweet_cherry_CRS_phenotyping_2011"
"245","FR35T102","Prunus avium","34.19","Sweet_cherry_CRS_phenotyping_2011"
"246","FR35T103","Prunus avium","21.43","Sweet_cherry_CRS_phenotyping_2011"
"247","FR35T104","Prunus avium","38.48","Sweet_cherry_CRS_phenotyping_2011"
"248","FR35T105","Prunus avium","31.01","Sweet_cherry_CRS_phenotyping_2011"
"249","FR35T108","Prunus avium","34.92","Sweet_cherry_CRS_phenotyping_2011"
"250","FR35T110","Prunus avium","19.34","Sweet_cherry_CRS_phenotyping_2011"
"251","FR3T002","Prunus avium","46.85","Sweet_cherry_CRS_phenotyping_2010"
"252","FR3T002","Prunus avium","47.02","Sweet_cherry_CRS_phenotyping_2011"
"253","FR3T003","Prunus avium","43.57","Sweet_cherry_CRS_phenotyping_2011"
"254","FR3T004","Prunus avium","32.55","Sweet_cherry_CRS_phenotyping_2010"
"255","FR3T004","Prunus avium","33.13","Sweet_cherry_CRS_phenotyping_2011"
"256","FR3T005","Prunus avium","33.47","Sweet_cherry_CRS_phenotyping_2011"
"257","FR3T007","Prunus avium","44.43","Sweet_cherry_CRS_phenotyping_2011"
"258","FR3T008","Prunus avium","37.36","Sweet_cherry_CRS_phenotyping_2011"
"259","FR3T009","Prunus avium","30.23","Sweet_cherry_CRS_phenotyping_2011"
"260","FR3T013","Prunus avium","56.91","Sweet_cherry_CRS_phenotyping_2011"
"261","FR3T014","Prunus avium","54.76","Sweet_cherry_CRS_phenotyping_2010"
"262","FR3T014","Prunus avium","55.02","Sweet_cherry_CRS_phenotyping_2011"
"263","FR3T015","Prunus avium","55.65","Sweet_cherry_CRS_phenotyping_2011"
"264","FR3T016","Prunus avium","55.69","Sweet_cherry_CRS_phenotyping_2010"
"265","FR3T016","Prunus avium","55.72","Sweet_cherry_CRS_phenotyping_2011"
"266","FR3T018","Prunus avium","33.43","Sweet_cherry_CRS_phenotyping_2011"
"267","FR3T018","Prunus avium","36.71","Sweet_cherry_CRS_phenotyping_2010"
"268","FR3T020","Prunus avium","31.11","Sweet_cherry_CRS_phenotyping_2010"
"269","FR3T020","Prunus avium","38.49","Sweet_cherry_CRS_phenotyping_2011"
"270","FR3T021","Prunus avium","33.73","Sweet_cherry_CRS_phenotyping_2011"
"271","FR3T021","Prunus avium","39","Sweet_cherry_CRS_phenotyping_2010"
"272","FR3T022","Prunus avium","55.82","Sweet_cherry_CRS_phenotyping_2011"
