"#","Germplasm","Species","Fruit_Shape","Dataset"
"221","FR18T018","Prunus avium","5","Sweet_cherry_CRS_phenotyping_2012"
"222","FR18T019","Prunus avium","3","Sweet_cherry_CRS_phenotyping_2011"
"223","FR18T019","Prunus avium","5","Sweet_cherry_CRS_phenotyping_2012"
"224","FR18T020","Prunus avium","5","Sweet_cherry_CRS_phenotyping_2012"
"225","FR18T041","Prunus avium","5","Sweet_cherry_CRS_phenotyping_2011"
"226","FR18T042","Prunus avium","5","Sweet_cherry_CRS_phenotyping_2012"
"227","FR18T043","Prunus avium","5","Sweet_cherry_CRS_phenotyping_2011"
"228","FR18T043","Prunus avium","5","Sweet_cherry_CRS_phenotyping_2012"
"229","FR18T044","Prunus avium","2.6","Sweet_cherry_CRS_phenotyping_2012"
"230","FR18T044","Prunus avium","5","Sweet_cherry_CRS_phenotyping_2011"
"231","FR18T045","Prunus avium","5","Sweet_cherry_CRS_phenotyping_2012"
"232","FR18T048","Prunus avium","2","Sweet_cherry_CRS_phenotyping_2011"
"233","FR18T048","Prunus avium","2","Sweet_cherry_CRS_phenotyping_2012"
"234","FR18T052","Prunus avium","5","Sweet_cherry_CRS_phenotyping_2012"
"235","FR18T071","Prunus avium","2.5","Sweet_cherry_CRS_phenotyping_2012"
"236","FR18T071","Prunus avium","4.4","Sweet_cherry_CRS_phenotyping_2011"
"237","FR1T027","Prunus avium","3.8","Sweet_cherry_CRS_phenotyping_2012"
"238","FR1T027","Prunus avium","5","Sweet_cherry_CRS_phenotyping_2011"
"239","FR1T028","Prunus avium","5","Sweet_cherry_CRS_phenotyping_2011"
"240","FR1T028","Prunus avium","5","Sweet_cherry_CRS_phenotyping_2012"
"241","FR1T029","Prunus avium","4","Sweet_cherry_CRS_phenotyping_2012"
"242","FR1T029","Prunus avium","4.3","Sweet_cherry_CRS_phenotyping_2011"
"243","FR1T030","Prunus avium","5","Sweet_cherry_CRS_phenotyping_2011"
"244","FR1T030","Prunus avium","5","Sweet_cherry_CRS_phenotyping_2012"
"245","FR1T031","Prunus avium","3.8","Sweet_cherry_CRS_phenotyping_2012"
"246","FR1T031","Prunus avium","5","Sweet_cherry_CRS_phenotyping_2011"
"247","FR1T032","Prunus avium","3","Sweet_cherry_CRS_phenotyping_2011"
"248","FR1T032","Prunus avium","3","Sweet_cherry_CRS_phenotyping_2012"
"249","FR1T033","Prunus avium","2","Sweet_cherry_CRS_phenotyping_2012"
"250","FR1T033","Prunus avium","3","Sweet_cherry_CRS_phenotyping_2011"
"251","FR1T037","Prunus avium","3","Sweet_cherry_CRS_phenotyping_2011"
"252","FR1T037","Prunus avium","3","Sweet_cherry_CRS_phenotyping_2012"
"253","FR1T038","Prunus avium","3","Sweet_cherry_CRS_phenotyping_2011"
"254","FR1T038","Prunus avium","5","Sweet_cherry_CRS_phenotyping_2012"
"255","FR1T039","Prunus avium","2","Sweet_cherry_CRS_phenotyping_2011"
"256","FR1T039","Prunus avium","3","Sweet_cherry_CRS_phenotyping_2012"
"257","FR1T040","Prunus avium","3","Sweet_cherry_CRS_phenotyping_2012"
"258","FR1T040","Prunus avium","5","Sweet_cherry_CRS_phenotyping_2011"
"259","FR1T041","Prunus avium","2","Sweet_cherry_CRS_phenotyping_2011"
"260","FR1T041","Prunus avium","3","Sweet_cherry_CRS_phenotyping_2012"
"261","FR1T042","Prunus avium","2","Sweet_cherry_CRS_phenotyping_2012"
"262","FR1T042","Prunus avium","3","Sweet_cherry_CRS_phenotyping_2011"
"263","FR1T054","Prunus avium","2","Sweet_cherry_CRS_phenotyping_2012"
"264","FR1T054","Prunus avium","2.2","Sweet_cherry_CRS_phenotyping_2011"
"265","FR1T056","Prunus avium","2","Sweet_cherry_CRS_phenotyping_2012"
"266","FR1T056","Prunus avium","3","Sweet_cherry_CRS_phenotyping_2011"
"267","FR1T065","Prunus avium","2","Sweet_cherry_CRS_phenotyping_2012"
"268","FR1T065","Prunus avium","5","Sweet_cherry_CRS_phenotyping_2011"
"269","FR1T073","Prunus avium","2","Sweet_cherry_CRS_phenotyping_2012"
"270","FR1T073","Prunus avium","5","Sweet_cherry_CRS_phenotyping_2011"
"271","FR21T037","Prunus avium","3","Sweet_cherry_CRS_phenotyping_2012"
"272","FR21T063","Prunus avium","2","Sweet_cherry_CRS_phenotyping_2012"
"273","FR22T001","Prunus avium","5","Sweet_cherry_CRS_phenotyping_2012"
"274","FR22T003","Prunus avium","3","Sweet_cherry_CRS_phenotyping_2012"
"275","FR22T006","Prunus avium","2","Sweet_cherry_CRS_phenotyping_2012"
"276","FR22T007","Prunus avium","2","Sweet_cherry_CRS_phenotyping_2012"
"277","FR23T065","Prunus avium","3","Sweet_cherry_CRS_phenotyping_2012"
"278","FR23T067","Prunus avium","5","Sweet_cherry_CRS_phenotyping_2012"
"279","FR23T068","Prunus avium","2","Sweet_cherry_CRS_phenotyping_2012"
"280","FR23T069","Prunus avium","4.6","Sweet_cherry_CRS_phenotyping_2012"
"281","FR23T072","Prunus avium","5","Sweet_cherry_CRS_phenotyping_2012"
"282","FR23T089","Prunus avium","2","Sweet_cherry_CRS_phenotyping_2012"
"283","FR23T090","Prunus avium","3","Sweet_cherry_CRS_phenotyping_2011"
"284","FR23T090","Prunus avium","5","Sweet_cherry_CRS_phenotyping_2012"
"285","FR23T091","Prunus avium","2","Sweet_cherry_CRS_phenotyping_2012"
"286","FR23T095","Prunus avium","5","Sweet_cherry_CRS_phenotyping_2012"
"287","FR23T113","Prunus avium","5","Sweet_cherry_CRS_phenotyping_2012"
"288","FR23T116","Prunus avium","2","Sweet_cherry_CRS_phenotyping_2012"
"289","FR23T119","Prunus avium","2","Sweet_cherry_CRS_phenotyping_2011"
"290","FR23T120","Prunus avium","3","Sweet_cherry_CRS_phenotyping_2011"
"291","FR23T120","Prunus avium","3","Sweet_cherry_CRS_phenotyping_2012"
"292","FR23T127","Prunus avium","3","Sweet_cherry_CRS_phenotyping_2012"
"293","FR23T128","Prunus avium","3","Sweet_cherry_CRS_phenotyping_2012"
"294","FR23T129","Prunus avium","3","Sweet_cherry_CRS_phenotyping_2012"
"295","FR23T129","Prunus avium","5","Sweet_cherry_CRS_phenotyping_2011"
"296","FR23T130","Prunus avium","2","Sweet_cherry_CRS_phenotyping_2012"
"297","FR23T130","Prunus avium","3.3","Sweet_cherry_CRS_phenotyping_2011"
"298","FR23T131","Prunus avium","3","Sweet_cherry_CRS_phenotyping_2011"
"299","FR23T131","Prunus avium","5","Sweet_cherry_CRS_phenotyping_2012"
"300","FR24T069","Prunus avium","2","Sweet_cherry_CRS_phenotyping_2012"
"301","FR24T072","Prunus avium","3","Sweet_cherry_CRS_phenotyping_2012"
"302","FR24T077","Prunus avium","3","Sweet_cherry_CRS_phenotyping_2011"
"303","FR25T084","Prunus avium","3","Sweet_cherry_CRS_phenotyping_2012"
"304","FR25T086","Prunus avium","2","Sweet_cherry_CRS_phenotyping_2012"
"305","FR25T090","Prunus avium","3","Sweet_cherry_CRS_phenotyping_2012"
"306","FR25T090","Prunus avium","5","Sweet_cherry_CRS_phenotyping_2011"
"307","FR26T030","Prunus avium","1","Sweet_cherry_CRS_phenotyping_2012"
"308","FR26T031","Prunus avium","4","Sweet_cherry_CRS_phenotyping_2012"
"309","FR26T034","Prunus avium","3","Sweet_cherry_CRS_phenotyping_2011"
"310","FR26T034","Prunus avium","5","Sweet_cherry_CRS_phenotyping_2012"
"311","FR26T036","Prunus avium","3","Sweet_cherry_CRS_phenotyping_2012"
"312","FR26T036","Prunus avium","5","Sweet_cherry_CRS_phenotyping_2011"
"313","FR26T037","Prunus avium","3","Sweet_cherry_CRS_phenotyping_2011"
