"#","Germplasm","Species","Bulked_Fruit_SSC","Dataset"
"220","FR8T011","Prunus avium","18.3","Sweet_cherry_CRS_phenotyping_2011"
"221","FR9T084","Prunus avium","20.4","Sweet_cherry_CRS_phenotyping_2011"
"222","FR9T086","Prunus avium","24.4","Sweet_cherry_CRS_phenotyping_2011"
"223","FR9T097","Prunus avium","21.2","Sweet_cherry_CRS_phenotyping_2011"
"224","FR9T098","Prunus avium","24.4","Sweet_cherry_CRS_phenotyping_2011"
"225","PC 9816-005","Prunus avium","19.4","Sweet_cherry_CRS_phenotyping_2010"
"226","PC 9816-023","Prunus avium","25.5","Sweet_cherry_CRS_phenotyping_2010"
"227","PC 9816-041","Prunus avium","23.6","Sweet_cherry_CRS_phenotyping_2010"
"228","PC 9816-059","Prunus avium","21.1","Sweet_cherry_CRS_phenotyping_2010"
"229","PC 9816-083","Prunus avium","22.7","Sweet_cherry_CRS_phenotyping_2010"
"230","PC 9816-103","Prunus avium","20.3","Sweet_cherry_CRS_phenotyping_2010"
"231","PC 9816-105","Prunus avium","21.5","Sweet_cherry_CRS_phenotyping_2010"
"232","PC 9816-106","Prunus avium","21","Sweet_cherry_CRS_phenotyping_2010"
"233","PC 9816-078","Prunus avium","19.3","Sweet_cherry_CRS_phenotyping_2010"
"234","PC 9819-005","Prunus avium","23.4","Sweet_cherry_CRS_phenotyping_2010"
"235","PC 9819-038","Prunus avium","21","Sweet_cherry_CRS_phenotyping_2010"
"236","PC 9814-025","Prunus avium","29.6","Sweet_cherry_CRS_phenotyping_2010"
"237","PC 9814-105","Prunus avium","22.1","Sweet_cherry_CRS_phenotyping_2010"
"238","PC 9814-028","Prunus avium","22.6","Sweet_cherry_CRS_phenotyping_2010"
"239","PC 9814-062","Prunus avium","23","Sweet_cherry_CRS_phenotyping_2010"
"240","PC 9814-071","Prunus avium","20.2","Sweet_cherry_CRS_phenotyping_2010"
"241","PC 9819-034","Prunus avium","24","Sweet_cherry_CRS_phenotyping_2010"
"242","Unk10-Sdlg","Prunus avium","19.2","Sweet_cherry_CRS_phenotyping_2011"
"243","Unk11-Sdlg","Prunus avium","16.7","Sweet_cherry_CRS_phenotyping_2011"
"244","Unk15-Sdlg","Prunus avium","22","Sweet_cherry_CRS_phenotyping_2011"
"245","Unk15-Sdlg","Prunus avium","26.1","Sweet_cherry_CRS_phenotyping_2010"
"246","Unk17-Sdlg","Prunus avium","21.4","Sweet_cherry_CRS_phenotyping_2010"
"247","Unk25-Sdlg","Prunus avium","19.1","Sweet_cherry_CRS_phenotyping_2011"
"248","Emperor Francis","Prunus avium","18.9","Sweet_cherry_CRS_phenotyping_2011"
"249","Black Republican","Prunus avium","17.5","Sweet_cherry_CRS_phenotyping_2011"
"250","Venus","Prunus avium","19.6","Sweet_cherry_CRS_phenotyping_2011"
"251","Moreau","Prunus avium","20","Sweet_cherry_CRS_phenotyping_2011"
"252","Index","Prunus avium","18.9","Sweet_cherry_CRS_phenotyping_2011"
"253","Index","Prunus avium","23.2","Sweet_cherry_CRS_phenotyping_2010"
"254","Sunburst","Prunus avium","15.5","Sweet_cherry_CRS_phenotyping_2011"
