"#","Germplasm","Species","Harvest_Date","Dataset"
"360","FR27T014","Prunus avium","7/7/2011","Sweet_cherry_CRS_phenotyping_2011"
"361","FR27T015","Prunus avium","6/28/2012","Sweet_cherry_CRS_phenotyping_2012"
"362","FR27T015","Prunus avium","7/1/2011","Sweet_cherry_CRS_phenotyping_2011"
"363","FR27T017","Prunus avium","7/1/2012","Sweet_cherry_CRS_phenotyping_2012"
"364","FR27T050","Prunus avium","7/2/2012","Sweet_cherry_CRS_phenotyping_2012"
"365","FR27T051","Prunus avium","6/30/2012","Sweet_cherry_CRS_phenotyping_2012"
"366","FR27T052","Prunus avium","6/28/2012","Sweet_cherry_CRS_phenotyping_2012"
"367","FR27T052","Prunus avium","6/30/2011","Sweet_cherry_CRS_phenotyping_2011"
"368","FR27T054","Prunus avium","6/28/2012","Sweet_cherry_CRS_phenotyping_2012"
"369","FR27T054","Prunus avium","7/1/2011","Sweet_cherry_CRS_phenotyping_2011"
"370","FR27T094","Prunus avium","6/22/2012","Sweet_cherry_CRS_phenotyping_2012"
"371","FR27T094","Prunus avium","6/30/2011","Sweet_cherry_CRS_phenotyping_2011"
"372","FR27T096","Prunus avium","6/22/2012","Sweet_cherry_CRS_phenotyping_2012"
"373","FR27T096","Prunus avium","6/30/2011","Sweet_cherry_CRS_phenotyping_2011"
"374","FR27T097","Prunus avium","6/22/2012","Sweet_cherry_CRS_phenotyping_2012"
"375","FR27T097","Prunus avium","6/30/2011","Sweet_cherry_CRS_phenotyping_2011"
"376","FR27T099","Prunus avium","6/22/2012","Sweet_cherry_CRS_phenotyping_2012"
"377","FR27T099","Prunus avium","6/30/2011","Sweet_cherry_CRS_phenotyping_2011"
"378","FR27T102","Prunus avium","6/27/2012","Sweet_cherry_CRS_phenotyping_2012"
"379","FR28T099","Prunus avium","6/28/2012","Sweet_cherry_CRS_phenotyping_2012"
"380","FR29T073","Prunus avium","6/23/2011","Sweet_cherry_CRS_phenotyping_2011"
"381","FR29T073","Prunus avium","6/27/2012","Sweet_cherry_CRS_phenotyping_2012"
"382","FR29T117","Prunus avium","7/3/2012","Sweet_cherry_CRS_phenotyping_2012"
"383","FR29T118","Prunus avium","7/3/2012","Sweet_cherry_CRS_phenotyping_2012"
"384","FR29T119","Prunus avium","6/27/2012","Sweet_cherry_CRS_phenotyping_2012"
"385","FR29T120","Prunus avium","6/23/2011","Sweet_cherry_CRS_phenotyping_2011"
"386","FR29T120","Prunus avium","6/27/2012","Sweet_cherry_CRS_phenotyping_2012"
"387","FR29T124","Prunus avium","6/30/2011","Sweet_cherry_CRS_phenotyping_2011"
"388","FR29T124","Prunus avium","7/3/2012","Sweet_cherry_CRS_phenotyping_2012"
"389","FR29T126","Prunus avium","6/27/2012","Sweet_cherry_CRS_phenotyping_2012"
"390","FR2T035","Prunus avium","7/13/2010","Sweet_cherry_CRS_phenotyping_2010"
"391","FR2T035","Prunus avium","7/16/2012","Sweet_cherry_CRS_phenotyping_2012"
"392","FR2T035","Prunus avium","7/18/2011","Sweet_cherry_CRS_phenotyping_2011"
"393","FR2T037","Prunus avium","7/16/2011","Sweet_cherry_CRS_phenotyping_2011"
"394","FR2T037","Prunus avium","7/18/2012","Sweet_cherry_CRS_phenotyping_2012"
"395","FR2T037","Prunus avium","7/20/2010","Sweet_cherry_CRS_phenotyping_2010"
"396","FR2T038","Prunus avium","7/14/2010","Sweet_cherry_CRS_phenotyping_2010"
"397","FR2T038","Prunus avium","7/16/2011","Sweet_cherry_CRS_phenotyping_2011"
"398","FR2T040","Prunus avium","7/18/2010","Sweet_cherry_CRS_phenotyping_2010"
"399","FR2T040","Prunus avium","7/18/2012","Sweet_cherry_CRS_phenotyping_2012"
"400","FR2T040","Prunus avium","7/21/2011","Sweet_cherry_CRS_phenotyping_2011"
"401","FR2T045","Prunus avium","7/11/2010","Sweet_cherry_CRS_phenotyping_2010"
